ID,UTC Start,Observing band,Duration (s),DM (pc cm^-3),DM error (pc cm^-3),DM epoch (MJD),DM chi2r,DM tres,SN,Flux (mJy),RM (rad m^-2),RM error (rad m^-2),RFI zapped (%)
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTY5Nw==,2021-02-18T13:26:22+00:00,LBAND,255.57778900934514,10.390747217069341,2.558915595889165e-05,59000.0,1.5105,0.042,2111.75537109375,4.911,-1.3415,0.05,0.0811491935483871
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTU2Mw==,2019-08-17T18:41:24+00:00,LBAND,518.2894749906545,10.390464875641609,2.28037126900865e-05,59000.0,1.9121,0.075,1461.63549804688,2.555,-0.976247,0.05,0.038186961206896554
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTY2Mw==,2020-06-05T03:41:11+00:00,LBAND,255.89076695327037,10.390686510615145,4.96337484045057e-05,59000.0,0.7497,0.197,341.442199707031,0.804,-0.693705,0.11,0.0846774193548387
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTYzNA==,2020-03-21T04:53:09+00:00,LBAND,514.6049244112143,10.39056341028024,2.284163833257178e-05,59000.0,0.577,0.074,719.344116210938,1.064,-0.652823,0.07,0.11514136904761904
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTc2OA==,2023-06-03T04:13:23+00:00,LBAND,255.56959222429902,10.39022018264141,2.366214637133173e-05,59000.0,3.5547,0.073,1915.74670410156,4.624,-0.405549,0.04,0.10446068548387097
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTYxNQ==,2020-03-06T05:00:51+00:00,LBAND,899.5403412336442,10.390520792283779,5.063643138264829e-05,59000.0,8.2692,0.11,1961.28991699219,2.499,-0.641954,0.06,0.09845685529279279
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTc0Mw==,2022-10-15T16:07:24+00:00,LBAND,511.5476240747657,10.390415429160111,1.538040344183066e-05,59000.0,4.8848,0.054,3804.90209960938,5.248,-2.63562,0.03,0.09497457837301587
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTY5MQ==,2020-11-28T18:01:33+00:00,LBAND,254.5586888971956,10.39079460212914,3.267513800411816e-05,59000.0,0.9012,0.086,743.019897460938,1.859,-1.49233,0.07,0.08672505040322581
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MzUzMzU=,2023-08-11T21:09:36+00:00,LBAND,255.569592224299,10.390227245840984,1.684120732843345e-05,59000.0,1.4742,0.066,1460.7890625,3.276,-1.04541,0.04,0.10445963541666667
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTUzMw==,2019-03-08T04:39:17+00:00,LBAND,503.9999999999993,10.390421274414614,4.17194493682001e-05,59000.0,2.3686,0.082,905.021728515625,2.039,-1.6964,0.08,0.04328893442622951
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTc1Mw==,2023-01-25T05:50:36+00:00,LBAND,255.57778900934514,10.390339143177956,1.910243579896488e-05,59000.0,1.1929,0.076,1095.58923339844,2.593,-1.61752,0.04,0.09979838709677419
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTU0Mg==,2019-06-22T22:02:00+00:00,LBAND,513.5071629158881,10.390408246821186,5.58532478192712e-05,59000.0,1.4921,0.124,693.448974609375,1.22,-0.557377,0.1,0.18098316912972084
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NzM0NTM=,2024-02-23T10:40:42+00:00,LBAND,255.569592224299,10.390236448563403,2.062017696526933e-05,59000.0,1.9958,0.073,1666.66430664062,3.663,-3.54437,0.04,0.08080267137096774
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTY2NQ==,2020-06-18T01:32:19+00:00,LBAND,255.81279700934513,10.390676668648533,3.703377083531716e-05,59000.0,2.0739,0.061,1642.83081054688,3.963,-0.684724,0.06,0.1042086693548387
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTU5MA==,2019-12-01T10:06:12+00:00,LBAND,258.4787331588787,10.390600252662686,1.889481900400785e-05,59000.0,1.1449,0.061,1412.04821777344,3.251,-1.31713,0.05,0.030554783092324806
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTU1MA==,2019-07-20T01:22:21+00:00,LBAND,258.47873315887875,10.39041828948856,2.457991049688927e-05,59000.0,1.1162,0.043,1991.08459472656,4.136,-0.831279,0.06,0.031632369299221356
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTYzMA==,2020-03-13T02:06:14+00:00,LBAND,258.5571194018685,10.390642529136695,5.280659730714103e-05,59000.0,2.1926,0.155,737.248474121094,1.689,-0.346638,0.08,0.093963623046875
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTcxMg==,2021-08-05T20:19:52+00:00,LBAND,511.5476240747656,10.390695965134126,2.699219004422941e-05,59000.0,1.315,0.102,946.457824707031,1.406,-0.894894,0.07,0.09973538306451613
