#;PSRJ;;RAJ;;;DECJ;;;PMRA;;;PMDEC;;;Gl;Gb;
 ; ;;(hms);;;(dms);;;(mas/yr);;;(mas/yr);;;(deg);(deg);
1603;J1733-5515;bbb+12;17:33:00.4;3.0e-01;bbb+12;-55:15:40;5.0e+00;bbb+12;*;0;*;*;0;*;336.188  ;-11.801  ;
1604;J1734-0212;dtws85;17:34:45.66;2.5e-02;hlk+04;-02:12:39.1;1.4e+00;hlk+04;*;0;*;*;0;*;21.904   ;15.928   ;
1605;J1734-2415;lfl+06;17:34:41.6;3.0e-01;lfl+06;-24:15:20;9.0e+01;lfl+06;*;0;*;*;0;*;2.678    ;4.551    ;
1606;J1734-2859;ccb+20;17:34:00.114;1.0e-02;ccb+20;-28:59:53.4;1.6e+00;ccb+20;*;0;*;*;0;*;358.596  ;2.119    ;
1607;J1734-3058;ncb+15;17:34:50.839;7.0e-03;ncb+15;-30:58:41.4;8.0e-01;ncb+15;*;0;*;*;0;*;357.031  ;0.893    ;
1608;J1734-3333;mhl+02;17:34:26.9;2.0e-01;elk+11;-33:33:20;1.0e+01;elk+11;10;1.0e+01;evh+22;-29;1.1e+01;evh+22;354.819  ;-0.433   ;
1609;J1735-0243;blr+13;17:35:48.1;2.0e-01;blr+13;-02:43:48;5.0e+00;blr+13;*;0;*;*;0;*;21.564   ;15.448   ;
1610;J1735-0724;ll76;17:35:04.9730;1.0e-04;dgb+19;-07:24:52.130;1.0e-03;dgb+19;0.82;6.0e-02;dgb+19;20.63;6.0e-02;dgb+19;17.271   ;13.284   ;
1611;J1735-3258;mhl+02;17:35:56.92;3.5e-01;psj+19;-32:58:21.82;4.2e-01;psj+19;*;0;*;*;0;*;355.478  ;-0.381   ;
1612;J1735+6320;scb+19;17:35:06.562;4.0e-03;mbc+20;+63:20:00.06;3.0e-02;mbc+20;*;0;*;*;0;*;92.721   ;32.552   ;
1613;J1736+05;cnst96;17:36:54;1.6e+01;cnst96;+05:48;5.0e+00;cnst96;*;0;*;*;0;*;29.592   ;19.208   ;
1614;J1736-2457;lfl+06;17:36:45.44;8.0e-02;lfl+06;-24:57:50;2.2e+01;lfl+06;*;0;*;*;0;*;2.331    ;3.775    ;
1615;J1736-2819;hfs+04;17:36:24.73;9.0e-02;hfs+04;-28:19:42;1.6e+01;hfs+04;*;0;*;*;0;*;359.446  ;2.036    ;
1616;J1736-2843;hfs+04;17:36:42.59;1.6e-01;hfs+04;-28:43:51;2.2e+01;hfs+04;*;0;*;*;0;*;359.142  ;1.764    ;
1617;J1736-3422;nie+20;17:36:10.9;0;aab+22;-34:22:19;0;aab+22;*;0;*;*;0;*;354.326  ;-1.176   ;
1618;J1736-3511;kbm+03;17:36:02.7;3.0e-01;kbm+03;-35:11:56;1.1e+01;kbm+03;*;0;*;*;0;*;353.614  ;-1.598   ;
1619;J1737-0314A;pqm+21;17:37:35.88794;3.0e-05;pqm+21;-03:14:34.775;1.0e-03;pqm+21;-3.590;2.5e-02;vb21;-5.059;2.5e-02;vb21;21.326   ;14.807   ;
1620;J1737-0314B;pqm+21;17:37:36.1;0.0e+00;har10a;-03:14:45;0.0e+00;har10a;-3.590;2.5e-02;vb21;-5.059;2.5e-02;vb21;21.324   ;14.805   ;
1621;J1737-0314C;pqm+21;17:37:36.1;0.0e+00;har10a;-03:14:45;0.0e+00;har10a;-3.590;2.5e-02;vb21;-5.059;2.5e-02;vb21;21.324   ;14.805   ;
1622;J1737-0314D;pqm+21;17:37:36.1;0.0e+00;har10a;-03:14:45;0.0e+00;har10a;-3.590;2.5e-02;vb21;-5.059;2.5e-02;vb21;21.324   ;14.805   ;
1623;J1737-0314E;pqm+21;17:37:36.1;0.0e+00;har10a;-03:14:45;0.0e+00;har10a;-3.590;2.5e-02;vb21;-5.059;2.5e-02;vb21;21.324   ;14.805   ;
1624;J1737-0811;blr+13;17:37:47.11235;1.4e-04;blr+13;-08:11:08.887;5.0e-03;blr+13;*;0;*;*;0;*;16.933   ;12.318   ;
1625;J1737-3102;mhl+02;17:37:33.73;4.0e-02;mhl+02;-31:02:00.5;4.1e+00;mhl+02;*;0;*;*;0;*;357.298  ;0.373    ;
1626;J1737-3137;mhl+02;17:37:04.29;4.0e-02;mhl+02;-31:37:21;3.0e+00;mhl+02;*;0;*;*;0;*;356.744  ;0.145    ;
1627;J1737-3320;hfs+04;17:37:10.51;5.0e-02;hfs+04;-33:20:20;5.0e+00;hfs+04;*;0;*;*;0;*;355.308  ;-0.795   ;
1628;J1737-3555;jlm+92;17:37:40.039;6.0e-03;jml+95;-35:55:43.8;4.0e-01;jml+95;*;0;*;*;0;*;353.175  ;-2.268   ;
1629;J1738+0333;jac05;17:38:53.9658386;0;fwe+12;+03:33:10.86667;3.0e-05;fwe+12;+7.037;5.0e-03;fwe+12;5.073;1.2e-02;fwe+12;27.721   ;17.742   ;
1630;J1738+04;dsm+16;17:38:25;1.1e+02;dsm+16;+04:20;8.0e+00;dsm+16;*;0;*;*;0;*;28.392   ;18.207   ;
1631;J1738-2330;lfl+06;17:38:08.8;3.0e-01;lfl+06;-23:30:47;1.0e+02;lfl+06;*;0;*;*;0;*;3.731    ;4.280    ;
1632;J1738-2647;hfs+04;17:38:05.03;4.0e-02;hfs+04;-26:47:46;2.6e+01;hfs+04;*;0;*;*;0;*;0.940    ;2.544    ;
1633;J1738-2736;ncb+15;17:38:14.628;5.0e-03;ncb+15;-27:36:25.8;9.0e-01;ncb+15;*;0;*;*;0;*;0.272    ;2.081    ;
1634;J1738-2955;mhl+02;17:38:52.12;2.0e-02;psj+19;-29:55:57.42;1.8e-01;psj+19;*;0;*;*;0;*;358.378  ;0.724    ;
1635;J1738-3107;hfs+04;17:38:47.4;3.0e-01;hfs+04;-31:07:44;1.4e+01;hfs+04;*;0;*;*;0;*;357.358  ;0.100    ;
1636;J1738-3211;cjlm87;17:38:54.185;8.6e-03;hlk+04;-32:11:53.6;5.8e-01;hlk+04;*;0;*;*;0;*;356.466  ;-0.491   ;
1637;J1738-3316;hfs+04;17:38:34.45;6.0e-02;hfs+04;-33:16:01.6;4.9e+00;hfs+04;*;0;*;*;0;*;355.525  ;-1.003   ;
1638;J1739+0612;jbo+09;17:39:17.966;4.0e-03;jbo+09;+06:12:28.4;1.0e+00;jbo+09;*;0;*;*;0;*;30.261   ;18.858   ;
1639;J1739-1313;ebvb01;17:39:57.821;6.0e-03;ebvb01;-13:13:18.6;4.0e-01;ebvb01;*;0;*;*;0;*;12.794   ;9.297    ;
1640;J1739-2521;cbmp17;17:39:32.629;5.4e-02;jcs+17;-25:21:56;1.5e+01;jcs+17;*;0;*;*;0;*;2.327    ;3.027    ;
1641;J1739-2903;cl86;17:39:34.292;2.0e-03;psj+19;-29:03:02.2;2.0e-01;psj+19;*;0;*;*;0;*;359.206  ;1.064    ;
1642;J1739-3023;mhl+02;17:39:39.79;4.0e-02;psj+19;-30:23:12.92;1.3e-01;psj+19;*;0;*;*;0;*;358.085  ;0.336    ;
1643;J1739-3049;mhl+02;17:39:23.22;6.0e-02;mhl+02;-30:49:40;5.0e+00;mhl+02;*;0;*;*;0;*;357.680  ;0.152    ;
1644;J1739-3131;cl86;17:39:24.304;5.5e-03;hlk+04;-31:31:15.3;5.0e-01;hlk+04;*;0;*;*;0;*;357.096  ;-0.220   ;
1645;J1739-3159;mhl+02;17:39:48.68;8.0e-02;mhl+02;-31:59:49;9.0e+00;mhl+02;*;0;*;*;0;*;356.739  ;-0.547   ;
1646;J1739-3951;lfl+06;17:39:38.25;4.0e-02;lfl+06;-39:52:00.3;8.0e-01;lfl+06;*;0;*;*;0;*;350.039  ;-4.690   ;
1647;J1740+1000;mca00;17:40:25.950;5.0e-03;mac+02;+10:00:06.3;2.0e-01;mac+02;*;0;*;*;0;*;34.011   ;20.268   ;
1648;J1740+1311;mlt+78;17:40:07.3455;1.2e-03;hlk+04;+13:11:56.69;3.0e-02;hlk+04;-22;2.0e+00;bfg+03;-20;2.0e+00;bfg+03;37.085   ;21.679   ;
1649;J1740-2540;hfs+04;17:40:45.32;6.0e-02;hfs+04;-25:40:19;1.8e+01;hfs+04;*;0;*;*;0;*;2.212    ;2.633    ;
1650;J1740+27;scb+19;17:40:30;1.2e+01;scb+19;+27:13;3.0e+00;scb+19;*;0;*;*;0;*;51.439   ;26.720   ;
1651;J1740-3015;cl86;17:40:33.82;1.0e-02;fgml97;-30:15:43.5;2.0e-01;fgml97;*;0;*;*;0;*;358.294  ;0.238    ;
1652;J1740-3052;sml+01;17:40:50.001;5.0e-03;bbn+11;-30:52:04.30;2.1e-01;bbn+11;*;0;*;*;0;*;357.811  ;-0.132   ;
1653;J1740-3327;hfs+04;17:40:25.72;3.0e-02;hfs+04;-33:27:53.5;1.7e+00;hfs+04;*;0;*;*;0;*;355.564  ;-1.436   ;
1654;J1740-5340A;dlm+01;17:40:44.589;4.0e-03;dpm+01;-53:40:40.9;1.0e-01;dpm+01;3.260;2.3e-02;vb21;-17.664;2.2e-02;vb21;338.165  ;-11.967  ;
1655;J1740-5340B;zrb+22;17:40:42.63;1.0e-02;zht+20;-53:40:28.1;3.0e-01;zht+20;3.260;2.3e-02;vb21;-17.664;2.2e-02;vb21;338.166  ;-11.961  ;
1656;J1741-0840;mlt+78;17:41:22.5629;1.0e-04;dgb+19;-08:40:31.711;1.0e-03;dgb+19;0.41;1.0e-01;dgb+19;6.90;9.0e-02;dgb+19;16.955   ;11.304   ;
1657;J1741+1351;jbo+07;17:41:31.1447385;1.8e-06;abb+18;+13:51:44.11589;3.6e-05;abb+18;-8.98;2.0e-02;*;-7.41;2.0e-02;*;37.885   ;21.641   ;
1658;J1741-2019;ebvb01;17:41:06.87;3.0e-02;ebvb01;-20:19:24;5.0e+00;ebvb01;*;0;*;*;0;*;6.815    ;5.377    ;
1659;J1741-2054;aaa+09c;17:41:57.238;3.0e-03;aab+22;-20:53:57.12;4.0e-02;aab+22;-63;1.2e+01;asr+15;-89;9.0e+00;asr+15;6.425    ;4.909    ;
1660;J1741-21;mss+20;17:41;0;mss+20;-21;0;mss+20;*;0;*;*;0;*;6.222    ;5.046    ;
1661;J1741-2719;lfl+06;17:41:35.06;4.0e-02;lfl+06;-27:19:23;7.0e+00;lfl+06;*;0;*;*;0;*;0.907    ;1.604    ;
1662;J1741-2733;mhl+02;17:41:01.34;4.0e-02;mhl+02;-27:33:51;7.0e+00;mhl+02;*;0;*;*;0;*;0.636    ;1.582    ;
1663;J1741+2758;fcwa95;17:41:53.51;2.0e-02;lwf+04;+27:58:09.0;9.0e-01;lwf+04;*;0;*;*;0;*;52.347   ;26.663   ;
1664;J1741-2945;mhl+02;17:41:14.47;4.0e-02;mhl+02;-29:45:35;5.0e+00;mhl+02;*;0;*;*;0;*;358.798  ;0.380    ;
1665;J1741-3016;mhl+02;17:41:07.04;6.0e-02;mhl+02;-30:16:31;1.0e+01;mhl+02;*;0;*;*;0;*;358.346  ;0.130    ;
1666;J1741-34;ncb+15;17:41:54;3.0e+01;ncb+15;-34:19;7.0e+00;ncb+15;*;0;*;*;0;*;355.002  ;-2.146   ;
1667;J1741+3855;scb+19;17:41:12.341;8.0e-03;tbc+20;+38:55:09.90;6.0e-02;tbc+20;*;0;*;*;0;*;64.293   ;29.693   ;
1668;J1741-3927;mlt+78;17:41:18.079;5.0e-03;jbv+19;-39:27:38.2;2.0e-01;jbv+19;20;1.5e+01;zhw+05;-6;5.9e+01;zhw+05;350.555  ;-4.749   ;
1669;J1742-0203;mss+20;17:42;0.0e+00;mss+20;-02:03;0.0e+00;mss+20;*;0;*;*;0;*;22.955   ;14.422   ;
1670;J1742-3321;nie+20;17:42:11.6;0;aab+22;-33:21:21;0;aab+22;*;0;*;*;0;*;355.851  ;-1.691   ;
1671;J1742-3957;lfl+06;17:42:04.43;1.9e-01;lfl+06;-39:57:22;9.0e+00;lfl+06;*;0;*;*;0;*;350.209  ;-5.135   ;
1672;J1742-4616;ebvb01;17:42:26.10;2.0e-02;ebvb01;-46:16:53.5;4.0e-01;ebvb01;*;0;*;*;0;*;344.790  ;-8.462   ;
1673;J1743-0339;mlt+78;17:43:08.18;2.7e-02;hlk+04;-03:39:11.5;1.4e+00;hlk+04;*;0;*;*;0;*;21.649   ;13.400   ;
1674;J1743+05;dsm+16;17:43:16;1.1e+02;dsm+16;+05:29;8.0e+00;dsm+16;*;0;*;*;0;*;30.045   ;17.651   ;
1675;J1743-1351;stwd85;17:43:37.622;7.4e-03;hlk+04;-13:51:38.0;6.1e-01;hlk+04;*;0;*;*;0;*;12.699   ;8.205    ;
1676;J1743-2442;hfs+04;17:43:20.12;1.0e-01;hfs+04;-24:42:55;4.1e+01;hfs+04;*;0;*;*;0;*;3.333    ;2.640    ;
1677;J1743-3150;jlm+92;17:43:36.710;8.0e-03;lbs+20;-31:50:22.7;9.0e-01;lbs+20;*;0;*;*;0;*;357.298  ;-1.149   ;
1678;J1743-3153;mhl+02;17:43:15.565;1.3e-02;mhl+02;-31:53:05.3;1.7e+00;mhl+02;*;0;*;*;0;*;357.221  ;-1.109   ;
1679;J1743-35;ncb+15;17:43:06;3.0e+01;ncb+15;-35:32;7.0e+00;ncb+15;*;0;*;*;0;*;354.095  ;-2.994   ;
1680;J1743-4212;ebvb01;17:43:05.223;5.0e-03;ebvb01;-42:12:02.4;2.0e-01;ebvb01;*;0;*;*;0;*;348.381  ;-6.464   ;
1681;J1744-1134;bjb+97;17:44:29.4097778;9.7e-07;rsc+21;-11:34:54.71673;6.8e-05;rsc+21;18.802;3.0e-03;*;-9.415;1.5e-02;*;14.794   ;9.180    ;
1682;J1744-1610;ebvb01;17:44:16.534;7.0e-03;ebvb01;-16:10:35.8;8.0e-01;ebvb01;*;0;*;*;0;*;10.773   ;6.885    ;
1683;J1744-2335;lml+98;17:44:48.47;5.0e-02;dsb+98;-23:35:55;2.6e+01;dsb+98;*;0;*;*;0;*;4.463    ;2.937    ;
1684;J1744-3130;mhl+02;17:44:05.682;1.4e-02;mhl+02;-31:30:04;3.0e+00;mhl+02;*;0;*;*;0;*;357.641  ;-1.059   ;
1685;J1744-3922;fsk+04;17:44:02.675;1.0e-02;fsk+04;-39:22:21.1;4.0e-01;fsk+04;*;0;*;*;0;*;350.908  ;-5.155   ;
1686;J1744-5337;bbb+12;17:44:38.92;4.0e-02;bbb+12;-53:37:51;2.0e+00;bbb+12;*;0;*;*;0;*;338.499  ;-12.447  ;
1687;J1744-7619;cpw+18;17:44:00.488;2.0e-03;cpw+18;-76:19:14.710;9.0e-03;cpw+18;-21;3.0e+00;cpw+18;-7;3.0e+00;cpw+18;317.108  ;-22.459  ;
1688;J1745-0129;ebvb01;17:45:02.06;1.0e-02;ebvb01;-01:29:18.1;4.0e-01;ebvb01;*;0;*;*;0;*;23.838   ;14.025   ;
1689;J1745-0952;eb01b;17:45:09.1348;2.0e-04;jsb+10;-09:52:39.682;1.5e-02;jsb+10;-21.2;1.1e+00;jsb+10;11;5.0e+00;jsb+10;16.371   ;9.895    ;
1690;J1745+1017;bgc+13;17:45:33.8371;7.0e-04;bgc+13;+10:17:52.523;2.0e-03;bgc+13;6;1.0e+00;bgc+13;-5;1.0e+00;bgc+13;34.869   ;19.254   ;
1691;J1745+1252;scb+19;17:45:44.19;2.0e-02;tbc+20;+12:52:38.3;2.0e-01;tbc+20;*;0;*;*;0;*;37.375   ;20.301   ;
1692;J1745-2229;hfs+04;17:45:16.71;7.0e-02;hfs+04;-22:29:14;2.5e+01;hfs+04;*;0;*;*;0;*;5.470    ;3.422    ;
1693;J1745-23;ccb+20;17:45:30;2.4e+01;ccb+20;-23:25;7.0e+00;ccb+20;*;0;*;*;0;*;4.701    ;2.896    ;
1694;J1745-2758;ncb+15;17:45:52.248;3.0e-03;pbm+19;-27:58:38.0;5.0e-01;pbm+19;*;0;*;*;0;*;0.847    ;0.452    ;
1695;J1745-2900;mgz+13;17:45:40.1662;8.0e-04;bdd+15;-29:00:29.896;1.0e-02;bdd+15;2.45;3.2e-01;bdd+15;5.89;1.1e-01;bdd+15;359.944  ;-0.047   ;
1696;J1745-2910;dcl09;17:45:16;3.4e+01;dcl09;-29:10;3.0e+00;dcl09;*;0;*;*;0;*;359.763  ;-0.054   ;
1697;J1745-2912;jkl+06;17:45:47.83043;2.3e-04;ddb+17;-29:12:30.780;3.0e-03;ddb+17;*;0;*;*;0;*;359.788  ;-0.175   ;
1698;J1745-3040;kac+73;17:45:56.316;1.2e-02;psj+19;-30:40:22.9;1.1e+00;psj+19;15;1.0e+00;jbv+19;47;7.0e+00;jbv+19;358.553  ;-0.963   ;
1699;J1745-3812;bbb+12;17:45:15.42;4.0e-02;bbb+12;-38:12:07.3;9.0e-01;bbb+12;*;0;*;*;0;*;352.036  ;-4.751   ;
1700;J1745+42;scb+19;17:45:48;1.8e+01;scb+19;+42:53;3.0e+00;scb+19;*;0;*;*;0;*;68.962   ;29.639   ;
1701;J1746+2245;clm+05;17:46:00.84;3.0e-02;clm+05;+22:45:28.9;8.0e-01;clm+05;*;0;*;*;0;*;47.252   ;24.048   ;
1702;J1746+2540;fcwa95;17:46:06.87;6.0e-02;lwf+04;+25:40:37.5;1.0e-01;lwf+04;*;0;*;*;0;*;50.274   ;25.031   ;
1703;J1746-2849;dcl09;17:46:03.35736;1.2e-04;ddb+17;-28:50:13.385;2.0e-03;ddb+17;*;0;*;*;0;*;0.134    ;-0.030   ;
1704;J1746-2850;dcl09;17:46:06.6;2.0e-01;dcl09;-28:50:42;5.0e+00;dcl09;*;0;*;*;0;*;0.134    ;-0.044   ;
1705;J1746-2856;jkl+06;17:46:49.85480;6.0e-05;ddb+17;-28:56:58.990;1.0e-03;ddb+17;*;0;*;*;0;*;0.126    ;-0.233   ;
1706;J1746-3239;pga+12;17:46:54.947;8.0e-03;pga+12;-32:39:55.8;7.0e-01;pga+12;*;0;*;*;0;*;356.957  ;-2.175   ;
1707;J1747-1030;bbb+12;17:47:58.31;6.0e-02;bbb+12;-10:30:05;4.0e+00;bbb+12;*;0;*;*;0;*;16.174   ;8.983    ;
1708;J1747-2647;kel+09;17:47:30.894;1.6e-02;kel+09;-26:47:14;5.0e+00;kel+09;*;0;*;*;0;*;2.054    ;0.758    ;
1709;J1747-2802;mhl+02;17:47:26.55;1.8e-01;mhl+02;-28:02:37;3.3e+01;mhl+02;*;0;*;*;0;*;0.971    ;0.121    ;
1710;J1747-2809;crgl09;17:47:22.80;3.0e-02;gpg01;-28:09:15.0;5.0e-01;gpg01;*;0;*;*;0;*;0.869    ;0.076    ;
1711;J1747-2958;cmgl02;17:47:15.882;8.0e-03;gvc+04;-29:58:01.0;7.0e-01;gvc+04;12.9;1.8e+00;hgc+09;*;0;*;359.305  ;-0.841   ;
1712;J1747-4036;kcj+12;17:47:48.716407;1.8e-05;aab+21a;-40:36:54.7912;6.8e-04;aab+21a;-1.41;1.5e-01;*;-2.3;5.0e-01;*;350.208  ;-6.412   ;
1713;J1748-1300;mlt+78;17:48:17.4077;1.7e-03;hlk+04;-13:00:52.08;1.4e-01;hlk+04;*;0;*;*;0;*;14.016   ;7.656    ;
1714;J1748-2021A;mlj+89b;17:48:52.689;2.0e-03;frb+08;-20:21:39.7;5.0e-01;frb+08;-1.187;3.6e-02;vb21;-4.020;3.5e-02;vb21;7.728    ;3.801    ;
1715;J1748-2021B;frb+08;17:48:52.95290;8.0e-05;frb+08;-20:21:38.86;1.9e-01;frb+08;-1.187;3.6e-02;vb21;-4.020;3.5e-02;vb21;7.729    ;3.800    ;
1716;J1748-2021C;frb+08;17:48:51.17320;1.5e-04;frb+08;-20:21:53.81;4.0e-02;frb+08;-1.187;3.6e-02;vb21;-4.020;3.5e-02;vb21;7.721    ;3.804    ;
1717;J1748-2021D;frb+08;17:48:51.64665;7.0e-05;frb+08;-20:21:07.414;1.8e-02;frb+08;-1.187;3.6e-02;vb21;-4.020;3.5e-02;vb21;7.734    ;3.809    ;
1718;J1748-2021E;frb+08;17:48:52.80040;1.4e-04;frb+08;-20:21:29.38;3.0e-02;frb+08;-1.187;3.6e-02;vb21;-4.020;3.5e-02;vb21;7.731    ;3.802    ;
1719;J1748-2021F;frb+08;17:48:52.3339;3.0e-04;frb+08;-20:21:39.33;9.0e-02;frb+08;-1.187;3.6e-02;vb21;-4.020;3.5e-02;vb21;7.727    ;3.802    ;
1720;J1748-2444;lmd+90;17:48:48.51;2.0e-02;hlk+04;-24:44:37;1.1e+01;hlk+04;*;0;*;*;0;*;3.955    ;1.564    ;
1721;J1748-2446A;lmd+90;17:48:02.255;2.0e-03;lmbm00;-24:46:36.9;6.0e-01;lmbm00;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;3.836    ;1.696    ;
1722;J1748-2446aa;fre08;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;3.839    ;1.687    ;
1723;J1748-2446ab;fre08;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;3.839    ;1.687    ;
1724;J1748-2446ac;fre08;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;3.839    ;1.687    ;
1725;J1748-2446ad;hrs+06;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;3.839    ;1.687    ;
1726;J1748-2446ae;fre08;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;3.839    ;1.687    ;
1727;J1748-2446af;fre08;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;3.839    ;1.687    ;
1728;J1748-2446ag;fre08;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;3.839    ;1.687    ;
1729;J1748-2446ah;fre08;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;3.839    ;1.687    ;
1730;J1748-2446ai;fre08;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;3.839    ;1.687    ;
1731;J1748-2446aj;crf+18;17:48:05.0119;2.0e-04;crf+18;-24:46:34.85;7.0e-02;crf+18;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;3.842    ;1.688    ;
1732;J1748-2446ak;crf+18;17:48:03.6860;2.0e-04;crf+18;-24:46:37.83;8.0e-02;crf+18;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;3.839    ;1.692    ;
1733;J1748-2446al;crf+18;17:48;3.0e+00;crf+18;-24:46;7.0e+00;crf+18;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;3.841    ;1.709    ;
1734;J1748-2446am;ar18;17:48:04.8235;2.0e-04;ar18;-24:46:47.21;9.0e-02;ar18;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;3.839    ;1.687    ;
1735;J1748-2446an;rgf+21;17:48:05.65898;1.6e-04;rgf+21;-24:46:42.03;7.0e-02;rgf+21;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;3.842    ;1.685    ;
1736;J1748-2446C;lmbm00;17:48:04.54;1.0e-02;lmbm00;-24:46:36;4.0e+00;lmbm00;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;3.841    ;1.689    ;
1737;J1748-2446D;rhs+05;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;3.839    ;1.687    ;
1738;J1748-2446E;rhs+05;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;3.839    ;1.687    ;
1739;J1748-2446F;rhs+05;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;3.839    ;1.687    ;
1740;J1748-2446G;rhs+05;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;3.839    ;1.687    ;
1741;J1748-2446H;rhs+05;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;3.839    ;1.687    ;
1742;J1748-2446I;rhs+05;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;3.839    ;1.687    ;
1743;J1748-2446J;rhs+05;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;3.839    ;1.687    ;
1744;J1748-2446K;rhs+05;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;3.839    ;1.687    ;
1745;J1748-2446L;rhs+05;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;3.839    ;1.687    ;
1746;J1748-2446M;rhs+05;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;3.839    ;1.687    ;
1747;J1748-2446N;rhs+05;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;3.839    ;1.687    ;
1748;J1748-2446O;rhs+05;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;3.839    ;1.687    ;
1749;J1748-2446P;rhs+05;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;3.839    ;1.687    ;
1750;J1748-2446Q;rhs+05;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;3.839    ;1.687    ;
1751;J1748-2446R;rhs+05;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;3.839    ;1.687    ;
1752;J1748-2446S;rhs+05;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;3.839    ;1.687    ;
1753;J1748-2446T;rhs+05;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;3.839    ;1.687    ;
1754;J1748-2446U;rhs+05;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;3.839    ;1.687    ;
1755;J1748-2446V;rhs+05;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;3.839    ;1.687    ;
1756;J1748-2446W;rhs+05;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;3.839    ;1.687    ;
1757;J1748-2446X;rhs+05;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;3.839    ;1.687    ;
1758;J1748-2446Y;rhs+05;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;3.839    ;1.687    ;
1759;J1748-2446Z;fre08;17:48:04.8;0;clge02;-24:46:45;0;clge02;-1.99;7.0e-02;vb21;-5.24;7.0e-02;vb21;3.839    ;1.687    ;
1760;J1748-30;ncb+15;17:48;5.0e+00;ncb+15;-30:17;7.0e+00;ncb+15;*;0;*;*;0;*;359.117  ;-1.141   ;
