ID,UTC Start,Observing band,Duration (s),DM (pc cm^-3),DM error (pc cm^-3),DM epoch (MJD),DM chi2r,DM tres,SN,Flux (mJy),RM (rad m^-2),RM error (rad m^-2),RFI zapped (%),Iono RM,Iono RM error
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODY5NjU=,2025-09-13T17:20:51+00:00,LBAND,1023.4004336448596,10.390210845910186,3.444779992568153e-05,59000.0,2.4098,0.061,1724.87890625,1.753,-1.63243,0.07,0.1247154896653543,-0.9370585271939973,0.05246573403591629
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODY5Njc=,2025-09-13T17:55:06+00:00,LBAND,1023.4874903925232,10.39019545488127,1.660290390149351e-05,59000.0,0.8503,0.058,1292.50634765625,1.46,-1.47476,0.06,0.1099363312007874,-0.7973534730705878,0.05310906650856313
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODc1NDc=,2025-09-21T21:28:48+00:00,LBAND,1023.4874903925232,10.39019551066232,2.816074812343673e-05,59000.0,1.395,0.12,812.641662597656,1.078,-1.24507,0.07,0.0845114087301587,-0.6878932270894401,0.054932188739827026
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODc1MzA=,2025-10-01T22:09:00+00:00,LBAND,1023.4874903925232,10.390260314826682,4.145633295187306e-05,59000.0,0.646,0.137,442.251800537109,0.605,-1.34181,0.12,0.1023468257874015,-0.532271426372339,0.05158262757462383
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODc1Mjk=,2025-10-01T21:38:35+00:00,LBAND,1023.5648741682242,10.390257996767712,6.285971608182944e-05,59000.0,1.2983,0.219,374.889678955078,0.574,-1.26827,0.15,0.1047997662401574,-0.5486912661641966,0.05290349098008474
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODc1NTg=,2025-09-21T23:11:30+00:00,LBAND,1023.5648741682244,10.390258460422338,2.398499919413628e-05,59000.0,1.0843,0.097,933.329895019531,1.161,-1.13944,0.07,0.0876061146653543,-0.5043437361580807,0.05023982952861659
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODc1Mzk=,2025-09-21T20:20:20+00:00,LBAND,1023.5648741682244,10.39024865196721,1.956044802261324e-05,59000.0,1.2019,0.096,1005.36212158203,1.284,-1.55581,0.05,0.1025159940944882,-0.8575485790460788,0.05645143367062672
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODc1Mzc=,2025-09-21T20:03:13+00:00,LBAND,1023.5648741682244,10.390294054444135,2.315158388203196e-05,59000.0,1.9799,0.111,1001.51275634766,1.409,-1.47126,0.05,0.0975485974409448,-0.9046314823774482,0.05668021776912284
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODc1MzU=,2025-09-21T19:46:06+00:00,LBAND,1023.5648741682242,10.39028833467418,1.834316326479049e-05,59000.0,1.3173,0.085,1091.09143066406,1.565,-1.56168,0.05,0.0999784694881889,-0.9298959693728592,0.056731593214672485
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODc1MzI=,2025-10-01T22:43:14+00:00,LBAND,1023.4874903925232,10.390248468455905,2.973939897036252e-05,59000.0,1.1328,0.147,513.942443847656,0.759,-1.19291,0.08,0.1070066437007874,-0.5337159699557916,0.049747999646320734
