source_id,ra,dec,parallax,bp_rp,phot_g_mean_mag,pmra,pmra_error,pmdec,pmdec_error,l,b,parallax_over_error,radial_velocity,radial_velocity_error,ruwe,phot_g_mean_flux,phot_g_mean_flux_over_error
2592129968499095168,21.804991985063303,15.470651112445784,25.678665,3.3597727,15.836862,0.6538817,0.06632569,-30.369345,0.033841025,135.51236343104657,-46.52520136645345,549.0244,9.703262,4.4011703,1.0853918,8713.6874409191,1576.7439
2592405430521595008,23.778602397276085,15.993690050298719,21.113567,2.591834,13.623898,194.19518,0.031521887,-145.35287,0.017207788,138.01574326430955,-45.5949921790178,801.3192,-33.03426,2.2097747,1.3021523,66894.10099282752,1985.9688
2592459100432917248,23.605458002651403,16.21829106949159,27.94863,3.2994452,15.389239,237.45561,0.048110392,-312.3897,0.03260379,137.70875865737716,-45.41658336805636,550.44586,53.921272,3.8243423,1.1404054,13159.857602097203,1977.5635
2592660929536097664,24.65526424457754,17.438566290283266,30.395754,2.9878616,14.45235,324.12375,0.028004466,22.943525,0.023413654,138.6595453340746,-43.9875477228799,1217.2064,5.944719,2.5495439,1.2263386,31189.402933554244,950.3382
2592744591203858304,22.807032572455764,16.90018920634647,28.216038,2.671669,12.421003,0.44218826,0.2736249,-126.26905,0.18131383,136.43211138551658,-44.92600005722851,109.834526,-1.515573,1.0175191,13.300035,202556.1980428406,2235.498
2593075892096431872,20.85519541186331,16.644533153072004,26.19542,3.3407888,15.668861,-46.007565,0.054482285,-9.217308,0.037975714,133.90172794463894,-45.544892395186345,543.9475,-61.064022,5.5036974,1.2156644,10171.905202149466,831.8134
2593075892096432000,20.855710461120164,16.64398698478927,25.825958,2.8249283,12.983752,-47.125572,0.1460334,-6.5069237,0.092076875,133.90255931011677,-45.545342731866306,201.22905,8.714275,1.9253534,7.099618,120627.37505828813,525.8653
2593336235833928448,20.380584643324177,17.05732353306208,29.15631,3.021119,14.925442,43.38232,0.032346003,-165.50075,0.020835914,133.1640345787262,-45.21588881632974,1057.2637,2.609956,3.608133,1.0382993,20172.98064119466,1921.3816
2593537751408707584,22.52403843505607,17.362446234686182,35.97545,4.4355717,18.267048,-33.612877,0.20778419,79.17748,0.13629766,135.9213834333205,-44.532089734723165,205.3352,,,0.9286213,929.2398025283634,620.51526
2594209965325689600,337.43501030582536,-18.38733529021348,27.006132,3.0979433,13.844268,110.254105,0.022468936,-59.184784,0.019894823,40.37569460332436,-56.30915005763248,1281.795,,,1.0516144,54605.901567358924,1167.1936
2594967292614256384,338.5987202837758,-16.995855764742103,38.6998,3.348116,14.548253,500.73758,0.043190677,5.536776,0.034979608,43.48096692250243,-56.7954894853506,1154.7056,-25.552282,3.140022,1.1516165,28552.595898163912,1072.5933
2595081092068004736,338.6811635236486,-16.67060090979804,25.02307,2.6938763,13.672429,223.41628,0.035693176,-181.95757,0.037037205,44.08158711268407,-56.73501301409953,720.30585,-13.664281,32.511494,2.1080914,63969.82734805437,1872.7538
2595132184998374400,338.6874545980026,-16.45267281160564,20.590168,2.8685722,13.68654,6.8718343,0.0851472,-153.2344,0.096217275,44.44743527022656,-56.65034223879486,201.65498,-31.690859,1.1531153,6.015959,63143.82403495857,868.8054
