designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
Gaia DR3 99485190766206464,99485190766206464,32.808164152053465,20.972804025284724,30.4852291056549,262.3438527353744,-11.89232520167102,1.2089356,14.617488,3.1906452,17.971363,NOT_AVAILABLE,0,false,false,false,false,false,true,true,3044.4883,5.0383,-0.0872,32.8093,2.0E-4,1.0E-4,1.0E-4
Gaia DR3 101787911712289664,101787911712289664,36.558445955707896,23.90760043600907,29.079932859773564,353.37827132931557,-45.64325781297814,0.9559679,16.163565,3.7115974,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,2870.7014,5.1866,-0.4252,34.9355,8.0E-4,5.0E-4,4.0E-4
Gaia DR3 102648588798884736,102648588798884736,36.366650632626644,24.67690441348204,28.20122195091457,-89.85924641533926,3.893943892275638,1.1953174,11.298914,2.2175617,1.0353278,NOT_AVAILABLE,0,true,true,false,false,false,false,true,3515.4365,4.4556,-0.344,35.6177,0.0239,0.0161,0.0097
Gaia DR3 102666662021160576,102666662021160576,36.23455471120174,24.87059895754702,22.50856519446656,263.4456107777143,-79.71095957436467,1.2327315,14.860067,2.98631,15.379608,NOT_AVAILABLE,0,true,true,false,false,false,true,true,3125.6958,5.0163,-0.1086,44.8498,0.0049,0.003,0.0021
Gaia DR3 103363168277756928,103363168277756928,36.19165862292867,25.97541126040853,35.766541758862864,-90.21016163767487,-175.46549959723322,1.3215237,10.779685,2.0774307,-14.006229,NOT_AVAILABLE,0,false,false,true,false,false,false,true,3634.4255,4.5921,-0.4155,27.8755,0.0029,0.002,0.0012
Gaia DR3 105332908999068032,105332908999068032,31.142335838084257,25.413539140884392,26.46141230655851,-107.9994569608246,-173.29944172018043,1.2244852,7.262336,0.85881996,-47.36243,NOT_AVAILABLE,0,true,true,false,false,false,true,true,5551.7886,4.3095,0.0369,37.7736,1.0E-4,1.0E-4,0.0
Gaia DR3 109934640039417984,109934640039417984,45.56954767985167,22.938097383580573,27.72719763436413,352.82133086323483,-88.36159276613293,1.0176735,15.733376,3.5667658,,NOT_AVAILABLE,0,true,false,false,false,false,false,true,,,,,,,
Gaia DR3 115540809313475072,115540809313475072,46.47764055982373,27.142293552309216,22.616043867830335,184.7946257776984,-22.698373382941448,1.0569575,15.346268,3.1450214,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,3066.3494,5.0559,-0.2153,44.2705,0.0021,0.0013,9.0E-4
Gaia DR3 116048577524991872,116048577524991872,43.40868081075246,26.553466693965742,29.481630779156184,323.2007095041157,-126.38312049239471,1.0347085,15.423181,3.4310799,,NOT_AVAILABLE,0,false,false,false,false,false,false,true,,,,,,,
Gaia DR3 1268321022907264,1268321022907264,44.30777209360578,1.8809525492729866,20.69208036936749,100.38169055659466,-99.30982581190028,1.0345942,17.258162,0.6621723,,NOT_AVAILABLE,0,true,false,false,false,false,false,false,,,,,,,
Gaia DR3 5850333868501248,5850333868501248,41.337421695841414,4.7114504498852,20.371766109641275,69.74547472674081,-40.82801481032268,1.2503762,5.9799666,0.4174099,23.694855,NOT_AVAILABLE,0,false,false,false,false,false,false,true,,,,,,,
Gaia DR3 6346041813693824,6346041813693824,43.165709186489785,5.715947444180452,21.753055558678565,-77.62576959679171,-299.51582281455734,0.99042225,9.962042,1.2922182,52.57793,NOT_AVAILABLE,0,false,false,false,false,false,true,true,4534.7515,4.5619,-0.1429,45.9124,0.0,0.0,0.0
Gaia DR3 6963383233077632,6963383233077632,45.961700034802064,6.130449084390715,31.93352888220124,227.79416156462858,54.0002768615433,1.0575107,14.964418,-0.05897045,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 9395983989903488,9395983989903488,49.92276397591947,6.088955305792635,21.35967505032138,-135.62495366766413,-74.6659765686254,1.0651522,16.431263,3.5308123,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,2938.951,5.1554,-0.3792,47.7109,5.0E-4,3.0E-4,2.0E-4
Gaia DR3 11023123760286592,11023123760286592,50.404591022596954,8.342041669073788,20.172643855883198,86.88567779594922,51.42333379346654,9.093769,12.800914,2.4477005,33.313084,NOT_AVAILABLE,0,true,true,false,false,false,false,true,,,,,,,
Gaia DR3 15620937790126720,15620937790126720,47.094405922110965,11.34472426475901,22.15871361029819,29.64230081765487,-129.60753614076015,0.6725721,17.217411,4.2786865,,NOT_AVAILABLE,0,false,false,false,false,false,false,true,,,,,,,
Gaia DR3 22579953040728576,22579953040728576,36.893586403456915,7.829618921671206,21.8286821180599,549.2947019099378,-67.9032649337509,1.0785542,15.0870905,2.8578176,21.123951,NOT_AVAILABLE,0,true,false,false,false,false,true,true,3157.131,5.0672,-0.3243,45.4162,2.0E-4,1.0E-4,1.0E-4
Gaia DR3 24262652508347520,24262652508347520,36.846129814421076,10.197421526921246,27.427690692534163,-293.91950812091386,-203.0842204574235,0.9293027,6.334228,0.61709356,-39.346535,NOT_AVAILABLE,0,false,false,false,false,false,true,true,6317.8394,4.1665,-0.8931,36.4076,0.0,0.0,0.0
Gaia DR3 28999211160988416,28999211160988416,44.354315095535604,12.854862857111746,23.90296799121708,48.630003886969675,-140.5903580101026,1.2227906,13.207034,2.5699778,7.433736,NOT_AVAILABLE,0,true,true,false,false,false,true,true,3120.388,4.2116,-0.7758,41.8121,1.0E-4,1.0E-4,1.0E-4
Gaia DR3 33439176553394048,33439176553394048,42.65530547734171,15.708157330247525,42.844514459393,342.3779496021317,-395.39262201096267,1.0158916,8.483034,1.3925943,-29.186056,NOT_AVAILABLE,0,false,false,false,false,false,true,true,4434.5117,4.5593,0.2996,23.3288,1.0E-4,1.0E-4,0.0
Gaia DR3 36216886524891008,36216886524891008,57.51052498964539,10.781984245409573,22.16378366188254,88.88214664793853,-51.414795262311834,1.2509478,16.83011,3.9378214,,NOT_AVAILABLE,0,true,false,false,false,false,false,true,,,,,,,
Gaia DR3 42017428834393472,42017428834393472,51.044334112093736,14.394505410166621,32.72039782318509,71.32682834465281,56.68795981379973,1.3665962,12.851945,2.5397882,22.541502,NOT_AVAILABLE,0,false,false,true,false,false,false,true,,,,,,,
Gaia DR3 43317841853753600,43317841853753600,56.09837893905875,16.496199217007245,22.61668743523057,506.5283442298249,-79.0845658542898,1.1663136,13.397084,2.3961248,166.13217,NOT_AVAILABLE,0,true,true,true,false,false,true,true,3214.3008,4.37,-0.8171,44.2256,7.0E-4,5.0E-4,3.0E-4
Gaia DR3 46014084882651648,46014084882651648,62.5605542973257,17.367674552901946,26.476449583719994,423.7335173081142,-155.62858343824837,5.1082606,8.989485,1.3073459,,NOT_AVAILABLE,0,true,true,false,false,false,false,true,,,,,,,
Gaia DR3 46106581298385280,46106581298385280,63.032295738370316,17.626013239950193,23.316312552259124,126.95643112401746,-37.90688907179175,1.2037457,13.566901,2.9788656,,NOT_AVAILABLE,0,true,true,false,false,false,false,true,,,,,,,
Gaia DR3 47751828650825856,47751828650825856,65.05889052370046,18.70196761968929,20.644823633460607,105.09720116301764,-31.766270421566404,1.0328475,17.380816,4.105853,,NOT_AVAILABLE,0,true,false,false,false,false,false,true,,,,,,,
Gaia DR3 48190739948429184,48190739948429184,65.45715988181011,19.48555339782339,23.617976590783137,125.40901399127283,-35.864619672116376,2.793982,16.695667,4.202367,,NOT_AVAILABLE,0,true,false,false,false,false,false,true,,,,,,,
Gaia DR3 48322200307502592,48322200307502592,66.56469767372471,20.109371001056534,23.682766626783728,35.85305998890034,-61.389056454457645,1.0822481,15.244391,3.1227493,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,3068.466,5.0677,-0.215,42.2639,0.0024,0.0014,0.001
Gaia DR3 49102063289298944,49102063289298944,64.58610989911898,20.36067421559666,27.575481207207222,-53.15571963929708,28.170181259494793,0.92898816,10.005727,1.5692396,-11.958986,NOT_AVAILABLE,0,true,true,false,false,false,false,true,,,,,,,
Gaia DR3 49131681384221952,49131681384221952,65.44163945529262,20.395550027325378,20.540163199450884,104.811415931944,-33.41532847520043,0.94564676,17.93693,4.314142,,NOT_AVAILABLE,0,true,false,false,false,false,false,true,,,,,,,
Gaia DR3 50427387118457984,50427387118457984,60.065517618885764,19.409999779203414,20.784654277557593,124.05003154447888,-33.15864551058504,1.205549,14.678405,3.0044937,40.928368,NOT_AVAILABLE,0,true,true,false,false,false,false,true,,,,,,,
Gaia DR3 51730755074345088,51730755074345088,58.90487797750194,21.313134283648544,34.728278479031246,206.77836984181113,-60.41463910490194,1.3141683,15.676665,3.822506,,NOT_AVAILABLE,0,true,false,false,false,false,false,true,,,,,,,
Gaia DR3 60194447690126848,60194447690126848,46.19215654159244,20.246880159391324,22.119162105034654,78.35140525255312,-87.35427579015106,1.0077875,19.831587,3.2424622,,NOT_AVAILABLE,0,true,false,false,false,false,false,false,,,,,,,
Gaia DR3 61990813467905792,61990813467905792,49.45115709736916,21.50922029880595,22.567791807446255,239.812045900878,-11.11224798519912,1.0614316,17.88187,4.6589146,,NOT_AVAILABLE,0,true,false,false,false,false,false,true,,,,,,,
Gaia DR3 62944841667483648,62944841667483648,50.981408943120925,23.657717953047836,20.700550604125052,17.5659364491483,24.905345032333635,17.441975,12.147665,2.35596,0.9435757,NOT_AVAILABLE,0,false,false,false,false,false,false,true,,,,,,,
Gaia DR3 62947354224986240,62947354224986240,51.054583587818286,23.771470852232262,48.33611005050289,205.44637008751465,-110.25936438966352,1.2360301,10.865924,2.349865,19.015635,NOT_AVAILABLE,0,false,false,true,false,false,true,true,3242.242,4.1438,-0.7801,20.6672,0.0023,0.0015,9.0E-4
Gaia DR3 63126196662620416,63126196662620416,55.84669517197853,19.971163897614996,48.17731638628854,75.52925494088046,161.81394929017478,0.96272284,15.617215,0.50059223,,NOT_AVAILABLE,0,true,false,false,false,false,false,false,,,,,,,
Gaia DR3 64743269029603840,64743269029603840,56.373931878452964,22.22154073534159,28.688533568557624,-0.5280218412608519,-215.1757608777468,1.1120247,13.868805,2.8377123,-2.0763702,NOT_AVAILABLE,0,true,true,false,false,false,true,true,3191.455,4.9852,-0.0875,34.7032,0.0,0.0,0.0
